,,"In ""icmp2.pcap"", how many packets are there in total?","In ""icmp2.pcap"", how many ARP packets are there?","In ""icmp2.pcap"", what is the Ethernet destination MAC address of the first ARP packet?","In ""icmp2.pcap"", what type of ARP packet is the 4th ARP packet?","In ""icmp2.pcap"", how many ICMPv4 packets are there?","In ""icmp2.pcap"", find the first ICMPv4 packet. What type of ICMPv4 packet is it? [i.e. type field]","In ""icmp2.pcap"", find the first ICMPv4 packet. Which IPv4 packet caused this ICMPv4 packet to be thrown?","In ""icmp2.pcap"", find packet 1871. What extension headers does it have, and what is the 'next-header' protocol at the end of the extension header daisychain?","In ""icmp2.pcap"", are there more packets TCP packets or UDP packets?","In ""icmp2.pcap"", how many ICMPv6 packets of type ""Neighbor Solicitation"" are there?","In ""icmp2.pcap"", what is the source IP address and the destination IP address of the two computers which sent the fewest IPv4 packets between them?","In ""icmp2.pcap"", how many full TCP 3-way opening handshakes (SYN, SYN-ACK, ACK) occurred?","In ""icmp2.pcap"", what is the packet number of the ACK of the first full TCP 3-way opening handshake?","In ""icmp2.pcap"", which ports are the first full TCP handshake agreed between?",What did you like about this tool?,What did you dislike about this tool?,What would improve this tool?
,,1891,8,20:7b:d2:c7:04:f4,Reply,1,Destination Unreachable,1835,,More UDP,4,140.82.114.26 -> 192.168.137.212,,,,"It was easier to view statistics about packets of different protocols, but this was probably influenced by having less clutter of different things on the screen. Fewer features overall made it easier to use the features that were present.
Pretty graphs are fun.","Couldn't scroll on images in the streams page
Couldn't filter the packets in the main display of packets. I had to manually cross-reference between the different screens.
Everything is very visually similar. It's a little tedious scrolling through an abyss of grey packets.","Whenever a packet number is displayed, make it a link to that packet. It would make it much easier to work out stuff about the packets that are being referenced.
More info about packets than just the number in the main display (so I can quickly get very basic information)."
,,1891,8,20:7b:d2:c7:04:f4,0x806,1,3,,,,,,,,,"The visualistation of the data for the fields of each individual packet, useful information being included in both the TCP handshakes list and the indivudal packet",Having to scroll through the list of all packets made it a bit slower to find a specific packet,"Some sort of search bar to filter by a specific packet type (ethernet, UDP etc) or to search for a specific number packet"
,,1891,8,2.7b.d2.c7.04.f4,reply,1,destination unreachable,1835,"hop-by-hop options, two of them",,,,,,,visual packet interface,"can't see clearly what the packet types are on the home page, i.e. wireshark shows a preview",the above
,,1891,8,,,,,,0x0,UDP,,,,,,"The streams page is informative, and the individual packet analysis is well laid out","The main page could also carry some information about the numbers of packets, It would be nice to not have to scroll all the way to the bottom to find out how many packets were sent in total","smaller chunks of information could be highlighted, its a lot of text so highlighted or bold headings to break up pages would help navigation"
,,1891,8,20:7b:d2:c7:04:f4,0x800,1,3,1835,1 Hop-By-Hop,,,,,,,Information was clearly displayed. I could find what I was looking for easily. I liked the clear numbering of packets. I liked the diagrams showing the frames broken down. ,It's not immediately clear just from the home screen what protocol each packet is. No filtering. Sometimes lots of scrolling. ,Add in a filter option. 
,,1891,8,dc:a6:32:66:cd:59,0x800,1,3,1835,"Hop-by-Hop options, ICMPv6",UDP,135,140.82.114.26 192.168.137.212,,,,"The visualization of individual packets was very clear and easy to understand
There was also some useful bits of information contained in the view streams tool about the packets",Not being able to ctrl+f in the view streams tool and being able to quickly sort through the information for different types of packets,"Some filters for the view streams part of the tool.
A quick way to jump to specific packets in the large list of packets."
,,1891,8,dc:a6:32:66:cd:59,IPv4,1,3,1835,"0, 3a, ICMPv6",,,,,,,It was easy to navigate and clear in the structure of the packets. Using packet diagrams made it easier to see how they were structured. The streams were a good way to visualise the data.,"I couldn't search for packets or types of packets, it showed me too much data that I didn't need to see at a time on the streams panel. It's lacking varied colors so it's harder to distinguish between lines. It's hard to count packets on the stream page.","It needs some search system for packets and types. There needs to be a bit more information about each packet on the main page. Packets need to be sortable by number on the streams page. The streams panel needs to be dividable so it can hide unnecessary information. Text needs to be more distinguished through using colors, bold or italic."
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Overall feedback,,,,,,,,,,,,,,,,
,,I preferred the visualisation of packets in Wireshark over our tool,I preferred the analysis capabilities in Wireshark over our tool,Other visualisation strategies/techniques which could be used in a future development of such a tool? Why?,Other analysis strategies/techniques which could be used in a future development of such a tool? Why?,Is there anything else you wish to add?,,,,,,,,,,,,
,,Neither agree nor disagree,Strongly disagree,"Hmm. Packets are difficult because there are so many of them. With all the different connections between different packets in different ways, it might be cool to view packets in some sort of immersive 3D VR experience. 2D tools like Wireshark and your tool are always just slightly too small for what I want to do. With an extra dimension, different streams etc. could be at different heights in the VR environment.",FIN handshakes as well as SYN (with diagrams maybe?),Wireshark is cluttered...,,Note: amended from raw data because participant confused Tool 1 and Tool 2.,,,,,,,,,,
,,Strongly disagree,Agree,"From [our tool], the visualisation of the data being similar to the diagram presentation of packets as they are seen in most textbooks greatly improved its readability",colour coding based on protocol and search funcitonality from [Wireshark] that made it faster to be able to sort groups of packets in the list,no,,,,,,,,,,,,
,,Agree,Disagree,"More on general graph usage, [our tool] had these and [Wireshark] did not","ability to send packets through, i.e. netstat discover command -> e.g. send arps to all devices on network, etc","[Our tool]: the main screen, number of packet + something else to show, e.g. protocol, nicer at a glance",,,,,,,,,,,,
,,Disagree,Neither agree nor disagree,"more firendly ui, headings and colours that make it easy to separte and pick out information",n/a,clearer signposting and navigation,,,,,,,,,,,,
,,Strongly disagree,Disgree,I liked the colour coding in [Wireshark] and also the filtering options. ,A clear view of a TCP stream from intialisation to closing. Clearly showing how different packets are linked e.g. wich packet caused an ICMP message. ,No,,,,,,,,,,,,
,,Strongly disagree,Neither agree nor disagree,"[Wireshark] had dropdown capability in the packet visualization, however, it's text based visualization was clumsy. I would like [our tool]'s more diagramatic visualization but with the drop down capability of [Wireshark] at the same time. For example being able to collapse/expand the header diagram visuals. ",[Wireshark]'s filter strategies helped me navigate things more quickly. But [our tool] did have some helpful summaries for each type of packet. I would maybe have a way to filter and compare multiple types of packets at once. Say TCP and UDP were both selected and both types of packets and summaries for them could be displayed side by side.,n/a,,,,,,,,,,,,
,,Strongly disagree,Strongly disagree,"Packet diagrams, more interactable  (changable scales, zoons [zoom into graphs], etc.)","Simple overall statistic counts in the bottom right (packet counts, types, etc. mke it very customisable) ","Making the system more interactive, having clear divisions of data, making sure that related information is as close as possible to each other. Linking packets where they are listed to the detailed individual packet breakdown. Hover over keywords in breakdown to provide info about what it does and it's value.  Keep it customisable in scale and shape.",,,,,,,,,,,,
